EXP,Gold,Drop Rate,Item,UK1,UK2,Name
12,6,40,i5,0,0,Mantis
40,18,32,i16,0,0,Scissorhands
99,30,8,i13,0,0,Spinninghead
168,51,8,i19,0,0,Sandworm
14,9,40,i3,0,0,Sea Dragon
88,33,32,i6,0,0,Land Skater
110,33,8,i29,0,0,Beastie Dragon
216,60,8,i12,0,0,Manticore
4,6,40,i1,0,0,Goblin
180,48,2,e37,0,0,Minotaur
204,54,2,e23,0,0,Hyper Skeleton
2250,255,8,i12,0,0,Basilisk
84,30,2,e112,0,0,Flabby Troll
12,12,8,i30,0,0,Evil Spider
40,18,8,i25,0,0,Spider Urchin
18,9,2,e153,0,0,Strong Man
48,21,8,i30,0,0,Dragonfly
20,9,32,i3,0,0,Hell Hound
66,30,8,i29,0,0,Death
18,15,2,e41,0,0,Lizard Man
144,51,8,i11,0,0,White Ape
5,6,10,i11,0,0,Assassin Cock
15,12,20,e20,0,0,Merman
70,18,8,i13,0,0,Glare
3,3,10,i11,0,0,Berserk Mouse
2700,300,2,e112,0,0,Dragon Soldier
48,15,8,i23,0,0,Earth Shaker
8,9,8,i11,0,0,Vampire Kiwi
11,8,10,i14,0,0,Myconido
44,24,24,i52,0,0,Roc
108,42,8,i11,0,0,Gnome
132,42,8,i8,0,0,Bowling
110,27,32,i22,0,0,Freeze Knight
13,12,10,e119,0,0,Fire Spirit
400,51,24,i56,0,0,Mad Skull
16,12,10,i14,0,0,Run Fast
112,30,8,i14,0,0,Canbria Dayfly
120,45,24,i52,0,0,Wyvern
4,9,40,i5,0,0,Trent
117,21,8,i39,0,0,Spring Hitter
160,39,8,i57,0,0,Guillotine
143,30,8,i29,0,0,Terminator
0,600,100,i19,0,0,OOPARTS
81,24,8,i37,0,0,Fairy
90,36,2,e131,0,0,Puck
11,9,8,i30,0,0,Mole
8,6,8,i11,0,0,Screaming Bat
130,42,2,e148,0,0,Succubus
132,45,8,i23,0,0,Mammoth
2025,210,2,e41,0,0,Metal Fang
96,21,32,i28,0,0,Windy Weasel
96,60,8,i8,0,0,Wounded Bear
32,15,8,i13,0,0,Erupting Chick
64,24,8,i30,0,0,Flying Rat
3000,0,10,e72,0,0,Rainbow Bird
20,12,32,i1,0,0,Living Statue
2475,120,8,i14,0,0,Madman
120,36,2,e117,0,0,Wildman
17,15,32,i10,0,0,Gargoyle
10,6,32,i7,0,0,Crescent Bee
120,24,10,i39,0,0,Jelly
140,42,8,i8,0,0,Spiky Beetle
180,33,10,i13,0,0,Slug
104,36,8,i30,0,0,Witch
10,9,2,e103,0,0,Ugly Balloon
156,51,24,i56,0,0,Maximum Volt
22,27,2,e143,0,0,Crystal Golem
99,39,2,e116,0,0,Rocky Turtle
17,6,40,i5,0,0,Crocodile
36,21,8,i11,0,0,Frilled Lizard
72,24,40,e91,0,0,Magician Bogy
