Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15,Slot16,Name
e1,e28,e47,e63,e77,e103,e106,e107,e108,e112,e102,e92,Nothing,Nothing,Nothing,Nothing,Bale Weapon
i11,i30,i13,i14,i6,i16,i31,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Bale Item
e21,e83,e90,e104,e105,e106,e111,e156,e101,e133,e131,e157,e151,e150,Nothing,Nothing,Lohan Weapon
i11,i37,i30,i13,i14,i7,i17,i31,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Lohan Item
e2,e29,e78,e94,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Kazas Weapon
i11,i37,i30,i10,i22,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Kazas Item
e14,e48,e97,e103,e104,e105,e106,e107,e108,e109,e111,e112,e156,Nothing,Nothing,Nothing,Fletz Weapon
i11,i57,i37,i30,i13,i14,i9,i24,i31,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fletz Item
e64,e84,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Donau Weapon
i11,i37,i30,i13,i14,i28,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Donau Item
e22,e41,e58,e107,e109,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Queen Fury Weapon
i11,i57,i37,i30,i13,i14,i9,i18,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Queen Fury Item
e3,e30,e35,e49,e65,e79,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fueno Weapon
i11,i57,i37,i30,i13,i31,i3,i17,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fueno Item
e15,e159,e161,e162,e163,e80,e95,e110,e115,e118,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Furni Weapon
i39,i37,i30,i12,i15,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Furni Item
e9,e23,e42,e54,e59,e81,e85,e98,e105,e108,e110,e164,e165,Nothing,Nothing,Nothing,Deningrand Weapon
