EXP,Gold,Drop Rate,Item,UK1,UK2,Name
16,6,20,lod_core:burn_out,0,0,Mantis
128,22,10,lod_core:meteor_fall,0,0,Scissorhands
480,34,15,lod_core:mind_purifier,0,0,Spinninghead
1152,35,10,lod_core:sun_rhapsody,0,0,Sandworm
28,8,10,lod_core:healing_potion,0,0,Sea Dragon
504,34,10,lod_core:healing_fog,0,0,Land Skater
576,39,10,lod_core:speed_up,0,0,Beastie Dragon
1632,57,10,lod_core:angel's_prayer,0,0,Manticore
3,3,10,lod_core:smoke_ball,0,0,Goblin
1232,46,15,lod_core:mind_purifier,0,0,Minotaur
1536,60,10,lod_core:midnight_terror,0,0,Hyper Skeleton
1144,50,10,lod_core:angel's_prayer,0,0,Basilisk
288,33,10,lod_core:midnight_terror,0,0,Flabby Troll
21,9,10,lod_core:angel's_prayer,0,0,Evil Spider
160,24,10,lod_core:panic_bell,0,0,Spider Urchin
72,15,10,lod_core:healing_potion,0,0,Strong Man
176,26,10,lod_core:magic_sig_stone,0,0,Dragonfly
89,18,10,lod_core:sun_rhapsody,0,0,Hell Hound
240,30,10,lod_core:mind_purifier,0,0,Death
57,14,20,lod_core:healing_potion,0,0,Lizard Man
720,44,10,lod_core:rave_twister,0,0,White Ape
2,4,50,lod_core:healing_potion,0,0,Assassin Cock
35,11,20,lod_core:angel's_prayer,0,0,Merman
216,30,10,lod_core:mind_purifier,0,0,Glare
1,1,20,lod_core:healing_potion,0,0,Berserk Mouse
1248,54,10,lod_core:healing_fog,0,0,Dragon Soldier
140,19,10,lod_core:healing_potion,0,0,Earth Shaker
11,3,20,lod_core:healing_potion,0,0,Vampire Kiwi
25,6,10,lod_core:body_purifier,0,0,Myconido
192,28,10,lod_core:down_burst,0,0,Roc
440,40,10,lod_core:thunderbolt,0,0,Gnome
864,48,5,lod_core:magic_sig_stone,0,0,Bowling
448,38,10,lod_core:gushing_magma,0,0,Freeze Knight
44,10,10,lod_core:spear_frost,0,0,Fire Spirit
