Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15,Slot16,Name
lod_core:bastard_sword,lod_core:sparkle_arrow,lod_core:scale_armor,lod_core:leather_jacket,lod_core:sallet,lod_core:poison_guard,lod_core:panic_guard,lod_core:bravery_amulet,lod_core:knight_shield,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:spear_frost,lod_core:meteor_fall,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:lance,lod_core:iron_knuckle,lod_core:disciple_vest,lod_core:cape,lod_core:legend_casque,lod_core:active_ring,lod_core:protector,lod_core:stun_guard,lod_core:power_wrist,lod_core:wargod_calling,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:spinning_gale,lod_core:gushing_magma,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:heat_blade,lod_core:long_bow,lod_core:armlet,lod_core:iron_kneepiece,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:dark_mist,lod_core:fatal_blizzard,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:shadow_cutter,lod_core:chain_mail,lod_core:soft_boots,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:trans_light,lod_core:black_rain,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:mace,lod_core:silver_vest,lod_core:tiara,lod_core:poison_guard,lod_core:active_ring,lod_core:protector,lod_core:panic_guard,lod_core:stun_guard,lod_core:bravery_amulet,lod_core:magic_ego_bell,lod_core:power_wrist,lod_core:knight_shield,lod_core:wargod_calling,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:rave_twister,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:glaive,lod_core:beast_fang,lod_core:warrior_dress,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:falchion,lod_core:bemusing_arrow,lod_core:morning_star,lod_core:plate_mail,lod_core:sparkle_dress,lod_core:knight_helm,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:healing_potion,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:rave_twister,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
lod_core:dancing_dagger,lod_core:giganto_helm,lod_core:combat_shoes,lod_core:destone_amulet,lod_core:attack_badge,lod_core:elude_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,???
