Target Type,Element,Damage,Power Defence,Power Magic Defence,Power Attack,Power Magic Attack,Power AHIT,Power MHIT,Power AAV,Power MAV,Physical Immunity,Magical Immunity,Speed Up,Speed Down,SP Per Physical Hit,MP Per Physical Hit,SP Per Magical Hit,MP Per Magical Hit,UK1,Icon,Status,Percentage,UK2,Base Switch,Instant Kill,Price,Name,Description,Battle Description,DEFF,Fake Item ID,Registry ID
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,2, ,,,4307,0,lod:_
78,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Detonate Rock,Detonates and§attacks all.,Weak attack for all,4309,1,lod:detonate_rock
76,16,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Spark Net,"Thunder-based,§single-target§(multi).",Thunder S attack,4311,2,lod:spark_net
76,128,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Burn Out,"Fire-based,§single-target§(multi).",Fire S attack,4313,3,lod:burn_out
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,1, , ,,4315,4,lod:_
76,2,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Pellet,"Earth-based,§single-target§(multi).",Earth S attack,4317,5,lod:pellet
76,1,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Spear Frost,"Water-based,§single-target§(multi).",Water S attack,4319,6,lod:spear_frost
76,64,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Spinning Gale,"Wind-based,§single-target§(multi).",Wind S attack,4321,7,lod:spinning_gale
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,46,0,0,0,0,false,50,Attack Ball,Generates a random§attack item.,Random attack item,-1,8,lod:attack_ball
76,32,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Trans Light,"Light-based,§single-target§(multi).",Light S attack,4325,9,lod:trans_light
76,4,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,38,0,0,0,0,false,5,Dark Mist,"Dark-based,§single-target§(multi).",Dark S attack,4327,10,lod:dark_mist
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,33,0,50,0,128,false,5,Healing Potion,Recovers half of§maximum HP.,Recovers 50% HP,4385,11,lod:healing_potion
72,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,37,1,0,0,8,false,15,Depetrifier,Dissolves§petrification.,Cures petrification,-1,12,lod:depetrifier
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,37,78,0,0,8,false,10,Mind Purifier,"Dispels confusion,§bewitchment, fear,§and dispiriting.","Cures B, C, F, D",-1,13,lod:mind_purifier
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,37,176,0,0,8,false,5,Body Purifier,"Nullifies poison,§stunning, and§arm blocking.","Cures P, S, A-Block",-1,14,lod:body_purifier
