Flag,Type,UK1,Who Equips,Element,UK2,Elemental Resistance,Elemental Null,Status Resist,UK3,AT,MP Per Physical Hit,SP Per Physical Hit,MP Per Magical Hat,SP Per Magical Hat,HP Multiplier,MP Multiplier,SP Multiplier,Magical Resistance,Physical Resistance,Magical Immunity,Physical Immunity,Revive,HP Regen,MP Regen,SP Regen,Escape Bonus,Icon,SPD,AT,MAT,DF,MDF,A-Hit,M-Hit,A-AV,M-AV,Status Chance,UK4,UK5,On Hit Status,Price,Name,Description,Registry ID
0,128,128,128,0,0,0,0,0,0,2,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Broad Sword, ,lod:broad_sword
0,128,128,128,0,0,0,0,0,0,7,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Bastard Sword, ,lod:bastard_sword
0,128,128,128,128,0,0,0,0,0,18,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,Heat Blade,Fire-based attack.,lod:heat_blade
0,128,128,128,0,0,0,0,0,0,26,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,Falchion, ,lod:falchion
0,128,128,128,0,0,0,0,0,0,34,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,175,Mind Crush,Confuses Enemy §with given§probability.,lod:mind_crush
0,128,128,128,0,0,0,0,0,0,39,0,0,0,0,0,0,50,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,Fairy Sword,Gives 50% more SP.,lod:fairy_sword
0,128,128,128,0,0,0,0,0,0,44,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,Claymore, ,lod:claymore
0,128,128,128,0,0,0,0,0,0,75,0,0,0,0,0,0,0,false,false,false,false,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,Soul Eater,Powerful but§HP decays  §each turn.,lod:soul_eater
0,128,128,32,0,0,0,0,0,0,45,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Axe, ,lod:axe
0,128,128,32,0,0,0,0,0,0,59,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,Tomahawk, ,lod:tomahawk
0,128,128,32,0,0,0,0,0,0,67,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,Battle Axe, ,lod:battle_axe
0,128,128,32,0,0,0,0,0,0,79,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,16,200,Great Axe,"Stuns enemy, with§a given §probability.",lod:great_axe
64,128,128,32,0,0,0,0,0,0,88,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,250,Indora's Axe,Instantly kills §enemy with given§probability.,lod:indoras_axe
0,128,128,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Rapier, ,lod:rapier
