EXP,Gold,Drop Rate,Item,UK1,UK2,Name
12,6,8,lod_core:pellet,0,0,Mantis
40,18,8,lod_core:meteor_fall,0,0,Scissorhands
99,30,8,lod_core:mind_purifier,0,0,Spinninghead
168,51,8,lod_core:spirit_potion,0,0,Sandworm
14,9,10,lod_core:burn_out,0,0,Sea Dragon
88,33,8,lod_core:spear_frost,0,0,Land Skater
110,33,8,lod_core:total_vanishing,0,0,Beastie Dragon
216,60,8,lod_core:depetrifier,0,0,Manticore
4,6,10,lod_core:detonate_rock,0,0,Goblin
180,48,2,lod_core:heavy_mace,0,0,Minotaur
204,54,2,lod_core:spear_of_terror,0,0,Hyper Skeleton
150,51,8,lod_core:depetrifier,0,0,Basilisk
84,30,2,lod_core:knight_shield,0,0,Flabby Troll
12,12,8,lod_core:angel's_prayer,0,0,Evil Spider
40,18,8,lod_core:poison_needle,0,0,Spider Urchin
18,9,2,lod_core:fake_power_wrist,0,0,Strong Man
48,21,8,lod_core:angel's_prayer,0,0,Dragonfly
20,9,8,lod_core:burn_out,0,0,Hell Hound
66,30,8,lod_core:total_vanishing,0,0,Death
18,15,2,lod_core:beast_fang,0,0,Lizard Man
144,51,8,lod_core:healing_potion,0,0,White Ape
5,6,10,lod_core:healing_potion,0,0,Assassin Cock
15,12,20,lod_core:spear,0,0,Merman
70,18,8,lod_core:mind_purifier,0,0,Glare
3,3,10,lod_core:healing_potion,0,0,Berserk Mouse
180,60,2,lod_core:knight_shield,0,0,Dragon Soldier
48,15,8,lod_core:stunning_hammer,0,0,Earth Shaker
8,9,8,lod_core:healing_potion,0,0,Vampire Kiwi
11,8,10,lod_core:body_purifier,0,0,Myconido
44,24,8,lod_core:down_burst,0,0,Roc
108,42,8,lod_core:healing_potion,0,0,Gnome
132,42,8,lod_core:attack_ball,0,0,Bowling
110,27,8,lod_core:fatal_blizzard,0,0,Freeze Knight
13,12,10,lod_core:spirit_cloak,0,0,Fire Spirit
400,51,8,lod_core:flash_hall,0,0,Mad Skull
16,12,10,lod_core:body_purifier,0,0,Run Fast
112,30,8,lod_core:body_purifier,0,0,Canbria Dayfly
120,45,8,lod_core:down_burst,0,0,Wyvern
4,9,10,lod_core:pellet,0,0,Trent
117,21,8,lod_core:healing_fog,0,0,Spring Hitter
160,39,8,lod_core:healing_breeze,0,0,Guillotine
143,30,8,lod_core:total_vanishing,0,0,Terminator
0,600,100,lod_core:spirit_potion,0,0,OOPARTS
81,24,8,lod_core:sun_rhapsody,0,0,Fairy
90,36,2,lod_core:dancer's_ring,0,0,Puck
11,9,8,lod_core:angel's_prayer,0,0,Mole
8,6,8,lod_core:healing_potion,0,0,Screaming Bat
130,42,2,lod_core:platinum_collar,0,0,Succubus
132,45,8,lod_core:stunning_hammer,0,0,Mammoth
135,42,2,lod_core:beast_fang,0,0,MetalFang
96,21,8,lod_core:rave_twister,0,0,Windy Weasel
96,60,8,lod_core:attack_ball,0,0,Wounded Bear
32,15,8,lod_core:mind_purifier,0,0,Erupting Chick
64,24,8,lod_core:angel's_prayer,0,0,Flying Rat
3000,0,10,lod_core:rainbow_dress,0,0,Rainbow Bird
20,12,8,lod_core:detonate_rock,0,0,Living Statue
165,24,8,lod_core:body_purifier,0,0,Madman
120,36,2,lod_core:giganto_ring,0,0,Wildman
17,15,8,lod_core:dark_mist,0,0,Gargoyle
10,6,8,lod_core:spinning_gale,0,0,Crescent Bee
120,24,10,lod_core:healing_fog,0,0,Jelly
140,42,8,lod_core:attack_ball,0,0,Spiky Beetle
180,33,10,lod_core:mind_purifier,0,0,Slug
104,36,8,lod_core:angel's_prayer,0,0,Witch
10,9,2,lod_core:poison_guard,0,0,Ugly Balloon
156,51,8,lod_core:flash_hall,0,0,Maximum Volt
22,27,2,lod_core:sapphire_pin,0,0,Crystal Golem
99,39,2,lod_core:guard_badge,0,0,Rocky Turtle
17,6,10,lod_core:pellet,0,0,Crocodile
36,21,8,lod_core:healing_potion,0,0,Frilled Lizard
72,24,2,lod_core:magical_hat,0,0,Magician Bogy
2000,120,8,lod_core:gravity_grabber,0,0,Triceratops
165,54,8,lod_core:frozen_jet,0,0,Stern Fish
88,30,8,lod_core:recovery_ball,0,0,Forest Runner
10,6,10,lod_core:healing_potion,0,0,Magma Fish
150,39,8,lod_core:body_purifier,0,0,Scud Shark
63,24,8,lod_core:healing_potion,0,0,Screw Shell
144,24,8,lod_core:healing_breeze,0,0,Potbelly
187,48,2,lod_core:soul_eater,0,0,Loner Knight
55,15,2,lod_core:energy_girdle,0,0,Berserker
176,54,2,lod_core:sage's_cloak,0,0,Professor
638,84,8,lod_core:spectral_flash,0,0,Psyche Druid
60,12,2,lod_core:bandit's_ring,0,0,Gangster
50,18,8,lod_core:pellet,0,0,Crafty Thief
153,39,8,lod_core:mind_purifier,0,0,Undead
60,21,2,lod_core:broad_sword,0,0,Skeleton
48,12,0,Nothing,0,0,Will-o'-Wisp
300,0,100,lod_core:night_raid,0,0,Cursed Jar
20,24,8,lod_core:angel's_prayer,0,0,Man Eating Bud
126,36,15,lod_core:recovery_ball,0,0,Cactus
15,9,8,lod_core:sun_rhapsody,0,0,Mandrake
77,33,8,lod_core:spirit_potion,0,0,Mermaid
17,9,8,lod_core:sun_rhapsody,0,0,Salamander
380,51,2,lod_core:healing_rain,0,0,Unicorn
10,6,10,lod_core:dark_mist,0,0,Orc
80,36,8,lod_core:depetrifier,0,0,Dark Elf
100,27,8,lod_core:mind_purifier,0,0,Baby Dragon
192,48,8,lod_core:panic_bell,0,0,Harpy
162,51,2,lod_core:dancer's_boots,0,0,Cute Cat
32,24,2,lod_core:bemusing_arrow,0,0,Arrow Shooter
14,6,8,lod_core:mind_purifier,0,0,Red Hot
170,30,8,lod_core:midnight_terror,0,0,Specter
30,30,8,lod_core:gushing_magma,0,0,Sandora Elite
24,15,20,lod_core:healing_potion,0,0,Knight of Sandora
11,6,10,lod_core:body_purifier,0,0,Slime
16,9,8,lod_core:mind_purifier,0,0,Fowl Fighter
36,12,8,lod_core:panic_bell,0,0,Killer Bird
14,6,8,lod_core:body_purifier,0,0,Plague Rat
38,12,8,lod_core:body_purifier,0,0,Stinger
40,21,2,lod_core:sachet,0,0,Piggy
56,15,8,lod_core:spear_frost,0,0,Sea Piranha
72,18,8,lod_core:body_purifier,0,0,Toad Stool
80,21,8,lod_core:gushing_magma,0,0,Mega Sea Dragon
90,39,8,lod_core:body_purifier,0,0,Deadly Spider
121,21,8,lod_core:spirit_potion,0,0,Icicle Ball
12,6,8,lod_core:mind_purifier,0,0,Tricky Bat
108,30,2,lod_core:bastard_sword,0,0,Mr.Bone
72,18,8,lod_core:healing_fog,0,0,Moss Dresser
144,24,8,lod_core:total_vanishing,0,0,Death Purger
154,21,8,lod_core:poison_needle,0,0,Scorpion
304,42,8,lod_core:frozen_jet,0,0,Trap Plant
135,30,8,lod_core:angel's_prayer,0,0,Aqua King
128,30,8,lod_core:body_purifier,0,0,Sky Chaser
456,33,8,lod_core:down_burst,0,0,Air Combat
0,0,100,lod_core:ruby_ring,0,0,Treasure Jar
136,24,8,lod_core:recovery_ball,0,0,Human Hunter
198,42,10,lod_core:angel's_prayer,0,0,Mountain Ape
360,42,8,lod_core:night_raid,0,0,Roulette Face
228,24,8,lod_core:burning_wave,0,0,Swift Dragon
20,15,2,lod_core:morning_star,0,0,Hellena Warden
25,30,50,lod_core:healing_potion,0,0,Sandora Soldier
14,9,8,lod_core:healing_potion,0,0,Sandora Soldier
11,12,10,lod_core:sun_rhapsody,0,0,Sandora Soldier
24,21,2,lod_core:spear,0,0,Senior Warden
6,9,0,Nothing,0,0,Hellena Warden
17,9,100,lod_core:attack_ball,0,0,Commander
1000,0,0,Nothing,0,0,Blue Bird
0,1000,100,lod_core:phoenix_plume,0,0,Red Bird
0,300,10,lod_core:elude_cloak,0,0,Yellow Bird
1000,300,100,lod_core:moon_serenade,0,0,Lucky Jar
0,0,0,lod_core:broad_sword,0,0,??? (Terminator ?)
0,0,0,lod_core:broad_sword,0,0,???
0,0,0,lod_core:broad_sword,0,0,???
0,0,0,lod_core:broad_sword,0,0,Madman
165,24,8,lod_core:body_purifier,0,0,Madman
165,24,8,lod_core:body_purifier,0,0,Madman
14,6,8,lod_core:mind_purifier,0,0,Red Hot	
14,6,8,lod_core:mind_purifier,0,0,Red Hot
11,6,10,lod_core:body_purifier,0,0,Madman
11,6,10,lod_core:body_purifier,0,0,Madman
13,12,2,lod_core:spirit_cloak,0,0,Fire Spirit
13,12,2,lod_core:spirit_cloak,0,0,Fire Spirit
170,30,8,lod_core:midnight_terror,0,0,Specter
170,30,8,lod_core:midnight_terror,0,0,Specter
48,12,0,Nothing,0,0,Will-o'-Wisp
48,12,0,Nothing,0,0,Will-o'-Wisp
