EXP,Gold,Drop Rate,Item,UK1,UK2,Name
12,2,8,lod:pellet,0,0,Mantis
40,6,8,lod:meteor_fall,0,0,Scissorhands
99,10,8,lod:mind_purifier,0,0,Spinninghead
168,17,8,lod:spirit_potion,0,0,Sandworm
14,3,10,lod:burn_out,0,0,Sea Dragon
88,11,8,lod:spear_frost,0,0,Land Skater
110,11,8,lod:total_vanishing,0,0,Beastie Dragon
216,20,8,lod:depetrifier,0,0,Manticore
4,2,10,lod:detonate_rock,0,0,Goblin
180,16,2,lod:heavy_mace,0,0,Minotaur
204,18,2,lod:spear_of_terror,0,0,Hyper Skeleton
150,17,8,lod:depetrifier,0,0,Basilisk
84,10,2,lod:knight_shield,0,0,Flabby Troll
12,4,8,lod:angels_prayer,0,0,Evil Spider
40,6,8,lod:poison_needle,0,0,Spider Urchin
18,3,2,lod:fake_power_wrist,0,0,Strong Man
48,7,8,lod:angels_prayer,0,0,Dragonfly
20,3,8,lod:burn_out,0,0,Hell Hound
66,10,8,lod:total_vanishing,0,0,Death
18,5,2,lod:beast_fang,0,0,Lizard Man
144,17,8,lod:healing_potion,0,0,White Ape
5,2,10,lod:healing_potion,0,0,Assassin Cock
15,4,20,lod:spear,0,0,Merman
70,6,8,lod:mind_purifier,0,0,Glare
3,1,10,lod:healing_potion,0,0,Berserk Mouse
180,20,2,lod:knight_shield,0,0,Dragon Soldier
48,5,8,lod:stunning_hammer,0,0,Earth Shaker
8,3,8,lod:healing_potion,0,0,Vampire Kiwi
11,2,10,lod:body_purifier,0,0,Myconido
44,8,8,lod:down_burst,0,0,Roc
108,14,8,lod:healing_potion,0,0,Gnome
132,14,8,lod:attack_ball,0,0,Bowling
110,9,8,lod:fatal_blizzard,0,0,Freeze Knight
13,4,10,lod:spirit_cloak,0,0,Fire Spirit
400,17,8,lod:flash_hall,0,0,Mad Skull
16,4,10,lod:body_purifier,0,0,Run Fast
112,10,8,lod:body_purifier,0,0,Canbria Dayfly
120,15,8,lod:down_burst,0,0,Wyvern
4,3,10,lod:pellet,0,0,Trent
117,7,8,lod:healing_fog,0,0,Spring Hitter
160,13,8,lod:healing_breeze,0,0,Guillotine
143,10,8,lod:total_vanishing,0,0,Terminator
0,200,100,lod:spirit_potion,0,0,OOPARTS
81,8,8,lod:sun_rhapsody,0,0,Fairy
90,12,2,lod:dancers_ring,0,0,Puck
