Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15,Slot16,Name
lod_core:bastard_sword,lod_core:sparkle_arrow,lod_core:scale_armor,lod_core:leather_jacket,lod_core:sallet,lod_core:poison_guard,lod_core:panic_guard,lod_core:stun_guard,lod_core:bravery_amulet,lod_core:knight_shield,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Bale Weapon
lod_core:healing_potion,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:spear_frost,lod_core:meteor_fall,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Bale Item
lod_core:lance,lod_core:cape,lod_core:legend_casque,lod_core:active_ring,lod_core:protector,lod_core:panic_guard,lod_core:power_wrist,lod_core:wargod_calling,lod_core:phantom_shield,lod_core:dragon_shield,lod_core:angel_scarf,lod_core:ultimate_wargod,Nothing,Nothing,Nothing,Nothing,Lohan Weapon
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:spinning_gale,lod_core:gushing_magma,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Lohan Item
lod_core:heat_blade,lod_core:long_bow,lod_core:armlet,lod_core:iron_kneepiece,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Kazas Weapon
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:dark_mist,lod_core:fatal_blizzard,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Kazas Item
lod_core:shadow_cutter,lod_core:chain_mail,lod_core:soft_boots,lod_core:poison_guard,lod_core:active_ring,lod_core:protector,lod_core:panic_guard,lod_core:stun_guard,lod_core:bravery_amulet,lod_core:magic_ego_bell,lod_core:power_wrist,lod_core:knight_shield,lod_core:wargod_calling,Nothing,Nothing,Nothing,Fletz Weapon
lod_core:healing_potion,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:trans_light,lod_core:black_rain,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fletz Item
lod_core:silver_vest,lod_core:tiara,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Donau Weapon
lod_core:healing_potion,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:rave_twister,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Donau Item
lod_core:glaive,lod_core:beast_fang,lod_core:warrior_dress,lod_core:stun_guard,lod_core:magic_ego_bell,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Queen Fury Weapon
lod_core:healing_potion,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:trans_light,lod_core:dancing_ray,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Queen Fury Item
lod_core:falchion,lod_core:bemusing_arrow,lod_core:morning_star,lod_core:plate_mail,lod_core:sparkle_dress,lod_core:knight_helm,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fueno Weapon
lod_core:healing_potion,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:charm_potion,lod_core:burn_out,lod_core:gushing_magma,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fueno Item
lod_core:dancing_dagger,lod_core:giganto_helm,lod_core:combat_shoes,lod_core:destone_amulet,lod_core:attack_badge,lod_core:elude_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Furni Weapon
lod_core:healing_fog,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:depetrifier,lod_core:thunderbolt,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Furni Item
lod_core:tomahawk,lod_core:spear_of_terror,lod_core:diamond_claw,lod_core:breast_plate,lod_core:master's_vest,lod_core:soul_headband,lod_core:jeweled_crown,lod_core:stardust_boots,lod_core:protector,lod_core:bravery_amulet,lod_core:destone_amulet,lod_core:armor_of_legend,Nothing,Nothing,Nothing,Nothing,Deningrand Weapon
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:depetrifier,lod_core:mind_purifier,lod_core:body_purifier,lod_core:spark_net,lod_core:thunderbolt,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Deningrad Item
lod_core:war_hammer,lod_core:magical_ring,lod_core:spiritual_ring,lod_core:spirit_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Forest of Winglies Weapon
lod_core:healing_fog,lod_core:sun_rhapsody,lod_core:healing_breeze,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:dark_mist,lod_core:black_rain,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Forest of Winglies Item
lod_core:partisan,lod_core:heavy_mace,lod_core:giganto_armor,lod_core:energy_girdle,lod_core:giganto_ring,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Vellweb Weapon
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Vellweb Item
lod_core:fairy_sword,lod_core:arrow_of_force,lod_core:thunder_fist,lod_core:magical_greaves,lod_core:magical_ring,lod_core:spiritual_ring,lod_core:elude_cloak,lod_core:spirit_cloak,lod_core:sage's_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Ulara Weapon
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:charm_potion,lod_core:panic_bell,lod_core:stunning_hammer,lod_core:poison_needle,lod_core:midnight_terror,lod_core:attack_ball,lod_core:recovery_ball,Nothing,Nothing,Nothing,Nothing,Nothing,Ulara Item
lod_core:attack_badge,lod_core:guard_badge,lod_core:giganto_ring,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Rouge Weapon
lod_core:healing_fog,lod_core:healing_breeze,lod_core:sun_rhapsody,lod_core:angel's_prayer,lod_core:mind_purifier,lod_core:body_purifier,lod_core:panic_bell,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Rouge Item
